iter	Passed	Remaining
0	109	109692
1	160	79843
2	171	57120
3	191	47614
4	209	41632
5	250	41519
6	274	38913
7	302	37458
8	317	34946
9	329	32606
10	340	30575
11	351	28926
12	360	27379
13	372	26215
14	403	26474
15	422	26002
16	440	25475
17	459	25049
18	474	24477
19	486	23823
20	490	22861
21	511	22727
22	533	22647
23	545	22202
24	562	21940
25	579	21712
26	599	21602
27	607	21095
28	628	21043
29	650	21031
30	666	20823
31	683	20666
32	701	20550
33	725	20607
34	731	20171
35	747	20017
36	767	19970
37	782	19800
38	795	19604
39	814	19559
40	831	19437
41	840	19179
42	855	19029
43	871	18926
44	890	18905
45	909	18865
46	922	18708
47	938	18614
48	960	18639
49	970	18430
50	979	18220
51	991	18076
52	1007	18002
53	1020	17869
54	1042	17920
55	1071	18069
56	1089	18021
57	1107	17992
58	1121	17891
59	1135	17783
60	1148	17672
61	1156	17498
62	1182	17589
63	1198	17531
64	1219	17545
65	1237	17510
66	1251	17427
67	1267	17373
68	1282	17298
69	1290	17143
70	1302	17048
71	1323	17056
72	1343	17056
73	1354	16953
74	1368	16883
75	1374	16709
76	1386	16615
77	1402	16582
78	1415	16506
79	1432	16478
80	1440	16342
81	1453	16274
82	1466	16203
83	1479	16137
84	1495	16098
85	1506	16012
86	1527	16032
87	1539	15953
88	1551	15878
89	1562	15795
90	1571	15701
91	1583	15628
92	1595	15558
93	1604	15463
94	1618	15420
95	1628	15338
96	1640	15275
97	1645	15144
98	1660	15111
99	1673	15061
100	1685	15001
101	1732	15251
102	1753	15270
103	1757	15138
104	1763	15034
105	1773	14958
106	1787	14921
107	1802	14883
108	1805	14761
109	1817	14706
110	1827	14640
111	1842	14610
112	1849	14515
113	1865	14497
114	1881	14476
115	1935	14746
116	1943	14668
117	1946	14548
118	1956	14484
119	1971	14455
120	1978	14373
121	1983	14275
122	2042	14564
123	2085	14735
124	2165	15155
125	2176	15099
126	2189	15049
127	2204	15015
128	2242	15138
129	2246	15033
130	2258	14985
131	2332	15335
132	2337	15238
133	2345	15156
134	2374	15212
135	2390	15184
136	2392	15070
137	2396	14966
138	2419	14988
139	2433	14949
140	2443	14887
141	2461	14874
142	2469	14799
143	2487	14789
144	2522	14872
145	2552	14928
146	2583	14993
147	2599	14965
148	2618	14952
149	2620	14851
150	2632	14803
151	2645	14757
152	2655	14701
153	2670	14673
154	2682	14623
155	2695	14581
156	2708	14543
157	2724	14521
158	2730	14444
159	2737	14371
160	2754	14353
161	2768	14319
162	2784	14296
163	2797	14258
164	2807	14209
165	2820	14170
166	2834	14137
167	2845	14091
168	2856	14045
169	2860	13968
170	2880	13965
171	2899	13959
172	2916	13940
173	2937	13946
174	2987	14084
175	3008	14085
176	3023	14060
177	3045	14065
178	3092	14181
179	3112	14179
180	3130	14166
181	3156	14189
182	3176	14183
183	3196	14175
184	3216	14170
185	3244	14200
186	3257	14162
187	3271	14130
188	3283	14089
189	3297	14057
190	3319	14060
191	3334	14033
192	3367	14079
193	3391	14090
194	3411	14083
195	3434	14086
196	3442	14033
197	3455	13994
198	3464	13944
199	3476	13904
200	3503	13925
201	3514	13885
202	3527	13850
203	3541	13817
204	3570	13844
205	3585	13819
206	3595	13774
207	3676	13998
208	3691	13970
209	3701	13924
210	3717	13900
211	3728	13857
212	3740	13821
213	3751	13778
214	3766	13752
215	3778	13714
216	3786	13663
217	3801	13637
218	3871	13805
219	3884	13771
220	3893	13725
221	3938	13803
222	3953	13774
223	3963	13729
224	3977	13700
225	3993	13677
226	4011	13660
227	4027	13635
228	4041	13607
229	4053	13570
230	4068	13544
231	4080	13508
232	4094	13479
233	4113	13465
234	4133	13457
235	4150	13437
236	4165	13411
237	4181	13389
